time,value
2015-11-30,4.97369
2015-12-01,4.997602
2015-12-02,5.005573
2015-12-03,4.97369
2015-12-04,4.98166
2015-12-07,5.021514
2015-12-08,5.005573
2015-12-09,4.997602
2015-12-10,4.989632
2015-12-11,4.97369
2015-12-14,4.97369
2015-12-15,4.989918
2015-12-16,4.981804
2015-12-17,4.981804
2015-12-18,5.022372
2015-12-21,4.989918
2015-12-22,5.014258
2015-12-23,5.046713
2015-12-24,5.071054
2015-12-28,5.071054
2015-12-29,5.022372
2015-12-30,5.0548269999999995
2015-12-31,5.038599
2016-01-04,5.022372
2016-01-05,4.981804
2016-01-06,4.998031
2016-01-07,4.998031
2016-01-08,5.038599
2016-01-11,4.97369
2016-01-12,4.97369
2016-01-13,4.908780999999999
2016-01-14,4.8925529999999995
2016-01-15,4.8925529999999995
2016-01-18,4.795189
2016-01-19,4.803303
2016-01-20,4.770847
2016-01-21,4.746507
2016-01-22,4.738394
2016-01-25,4.673483999999999
2016-01-26,4.632915000000001
2016-01-27,4.705939
2016-01-28,4.6410290000000005
2016-01-29,4.673483999999999
2016-02-01,4.6491430000000005
2016-02-02,4.689711
2016-02-03,4.624801000000001
2016-02-04,4.608573000000001
2016-02-05,4.600461
2016-02-11,4.568006
2016-02-12,4.543664
2016-02-15,4.543664
2016-02-16,4.592346
2016-02-17,4.576119
2016-02-18,4.543664
2016-02-19,4.576119
2016-02-22,4.689711
2016-02-23,4.665369999999999
2016-02-24,4.705939
2016-02-25,4.657255999999999
2016-02-26,4.632915000000001
2016-02-29,4.543664
2016-03-01,4.584233
2016-03-02,4.705939
2016-03-03,4.632915000000001
2016-03-04,4.754621
2016-03-07,4.754621
2016-03-08,4.689711
2016-03-09,4.697824
2016-03-10,4.697824
2016-03-11,4.697824
2016-03-14,4.714052
2016-03-15,4.697824
2016-03-16,4.6491430000000005
2016-03-17,4.681597
2016-03-18,4.705939
2016-03-21,4.681597
2016-03-22,4.705939
2016-03-23,4.697824
2016-03-24,4.6491430000000005
2016-03-29,4.689711
2016-03-30,4.681597
2016-03-31,4.705939
2016-04-01,4.689711
2016-04-05,4.705939
2016-04-06,4.697824
2016-04-07,4.689711
2016-04-08,4.705939
2016-04-11,4.778962
2016-04-12,4.762734
2016-04-13,4.787075
2016-04-14,4.803303
2016-04-15,4.803303
2016-04-18,4.803303
2016-04-19,4.795189
2016-04-20,4.705939
2016-04-21,4.738394
2016-04-22,4.754621
2016-04-25,4.762734
2016-04-26,4.81953
2016-04-27,4.81953
2016-04-28,4.787075
2016-04-29,4.81953
2016-05-03,4.787075
2016-05-04,4.787075
2016-05-05,4.787075
2016-05-06,4.787075
2016-05-09,4.787075
2016-05-10,4.787075
2016-05-11,4.778962
2016-05-12,4.795189
2016-05-13,4.778962
2016-05-16,4.762734
2016-05-17,4.770847
2016-05-18,4.778962
2016-05-19,4.738394
2016-05-20,4.705939
2016-05-23,4.730279
2016-05-24,4.705939
2016-05-25,4.746507
2016-05-26,4.730279
2016-05-27,4.730279
2016-05-30,4.803303
2016-05-31,4.8925529999999995
2016-06-01,4.876326000000001
2016-06-02,4.876326000000001
2016-06-03,4.868212000000001
2016-06-06,4.827644
2016-06-07,4.941235
2016-06-08,5.095396
2016-06-10,5.046713
2016-06-13,4.989918
2016-06-14,4.998031
2016-06-15,5.022372
2016-06-16,4.989918
2016-06-17,5.022372
2016-06-20,5.071054
2016-06-21,5.071054
2016-06-22,5.079168
2016-06-23,5.071054
2016-06-24,4.998031
2016-06-27,5.095396
2016-06-28,5.0548269999999995
2016-06-29,5.2008730000000005
2016-06-30,5.184646
2016-07-04,5.176532
2016-07-05,5.160305
2016-07-06,5.135962999999999
2016-07-07,5.111623000000001
2016-07-08,5.119737000000001
2016-07-11,5.184646
2016-07-12,5.144076999999999
2016-07-13,5.152191
2016-07-14,5.176532
2016-07-15,5.152191
2016-07-18,5.152191
2016-07-19,5.160305
2016-07-20,5.152191
2016-07-21,5.168419
2016-07-22,5.257669
2016-07-25,5.2089870000000005
2016-07-26,5.249555
2016-07-27,5.257669
2016-07-28,5.241442
2016-07-29,5.2089870000000005
2016-08-01,5.241442
2016-08-02,5.241442
2016-08-03,5.233328
2016-08-04,5.225214
2016-08-05,5.249555
2016-08-08,5.298238
2016-08-09,5.314465
2016-08-10,5.3631470000000006
2016-08-11,5.3063519999999995
2016-08-12,5.371261
2016-08-15,5.355033000000001
2016-08-16,5.371261
2016-08-17,5.338806
2016-08-18,5.371261
2016-08-19,5.419943
2016-08-22,5.468625
2016-08-23,5.395601
2016-08-24,5.379375
2016-08-25,5.355033000000001
2016-08-26,5.3631470000000006
2016-08-29,5.322578
2016-08-30,5.273897
2016-08-31,5.217101
2016-09-01,5.241442
2016-09-02,5.290124
2016-09-05,5.440554
2016-09-06,5.298481
2016-09-07,5.298481
2016-09-08,5.306839
2016-09-09,5.348624
2016-09-12,5.265053
2016-09-13,5.231624
2016-09-14,5.189837000000001
2016-09-15,5.1062650000000005
2016-09-19,5.214909
2016-09-20,5.198195
2016-09-21,5.214909
2016-09-22,5.231624
2016-09-23,5.198195
2016-09-26,5.214909
2016-09-27,5.223266000000001
2016-09-28,5.198195
2016-09-29,5.214909
2016-09-30,5.198195
2016-10-03,5.2483379999999995
2016-10-04,5.348624
2016-10-05,5.356982
2016-10-06,5.390411
2016-10-07,5.398766999999999
2016-10-11,5.348624
2016-10-12,5.382053
2016-10-13,5.356982
2016-10-14,5.356982
2016-10-17,5.33191
2016-10-18,5.365339
2016-10-19,5.356982
2016-10-20,5.382053
2016-10-21,5.382053
2016-10-24,5.48234
2016-10-25,5.465626
2016-10-26,5.48234
2016-10-27,5.457269
2016-10-28,5.4739830000000005
2016-10-31,5.524127
2016-11-01,5.557555000000001
2016-11-02,5.499054
2016-11-03,5.5491980000000005
2016-11-04,5.532483999999999
2016-11-07,5.382053
2016-11-08,5.407125
2016-11-09,5.415483
2016-11-10,5.440554
2016-11-11,5.415483
2016-11-14,5.448912
2016-11-15,5.465626
2016-11-16,5.4321980000000005
2016-11-17,5.390411
2016-11-18,5.373696
2016-11-21,5.398766999999999
2016-11-22,5.423839
2016-11-23,5.465626
2016-11-24,5.415483
2016-11-25,5.4321980000000005
2016-11-28,5.4321980000000005
2016-11-29,5.490697
2016-11-30,5.565912
2016-12-01,5.574269
2016-12-02,5.565912
2016-12-05,5.599342
2016-12-06,5.616055
2016-12-07,5.641128
2016-12-08,5.8082709999999995
2016-12-09,5.791558
2016-12-12,5.7664860000000004
2016-12-13,5.7664860000000004
2016-12-14,5.7664860000000004
2016-12-15,5.774978
2016-12-16,5.71553
2016-12-19,5.707036
2016-12-20,5.724023000000001
2016-12-21,5.724023000000001
2016-12-22,5.757993
2016-12-23,5.724023000000001
2016-12-28,5.774978
2016-12-29,5.757993
2016-12-30,5.791964
2017-01-03,5.791964
2017-01-04,5.885383
2017-01-05,6.07222
2017-01-06,6.131668
2017-01-09,6.369462
2017-01-10,6.411925
2017-01-11,6.310013
2017-01-12,6.225087
2017-01-13,6.2590580000000005
2017-01-16,6.250565
2017-01-17,6.191117
2017-01-18,6.165639
2017-01-19,6.055235
2017-01-20,6.0382489999999995
2017-01-23,6.063727
2017-01-24,6.004279
2017-01-25,6.029757
2017-01-26,5.970308999999999
2017-01-27,6.012772
2017-02-01,5.987294
2017-02-02,5.987294
2017-02-03,6.0212650000000005
2017-02-06,6.0212650000000005
2017-02-07,6.0212650000000005
2017-02-08,6.07222
2017-02-09,6.055235
2017-02-10,6.046742
2017-02-13,6.055235
2017-02-14,6.004279
2017-02-15,6.0212650000000005
2017-02-16,6.123176
2017-02-17,6.157147
2017-02-20,6.131668
2017-02-21,6.182624
2017-02-22,6.199609
2017-02-23,6.26755
2017-02-24,6.250565
2017-02-27,6.208101999999999
2017-02-28,6.199609
2017-03-01,6.2590580000000005
2017-03-02,6.2590580000000005
2017-03-03,6.199609
2017-03-06,6.140161
2017-03-07,6.140161
2017-03-08,6.174131
2017-03-09,6.165639
2017-03-10,6.1486540000000005
2017-03-13,6.199609
2017-03-14,6.216595
2017-03-15,6.250565
2017-03-16,6.225087
2017-03-17,6.199609
2017-03-20,6.23358
2017-03-21,6.2930269999999995
2017-03-22,6.182624
2017-03-23,6.216595
2017-03-24,5.987294
2017-03-27,6.0212650000000005
2017-03-28,6.012772
2017-03-29,6.004279
2017-03-30,6.004279
2017-03-31,5.995786
2017-04-03,6.131668
2017-04-05,6.208101999999999
2017-04-06,6.23358
2017-04-07,6.191117
2017-04-10,6.140161
2017-04-11,6.191117
2017-04-12,6.165639
2017-04-13,6.114683
2017-04-18,6.106191
2017-04-19,6.012772
2017-04-20,6.106191
2017-04-21,6.07222
2017-04-24,6.063727
2017-04-25,6.07222
2017-04-26,6.097697
2017-04-27,6.07222
2017-04-28,6.216595
2017-05-02,6.2930269999999995
2017-05-04,6.335491
2017-05-05,6.360969
2017-05-08,6.377954
2017-05-09,6.343984
2017-05-10,6.343984
2017-05-11,6.369462
2017-05-12,6.369462
2017-05-15,6.411925
2017-05-16,6.5647910000000005
2017-05-17,6.6242399999999995
2017-05-18,6.556299
2017-05-19,6.615747
2017-05-22,6.726151
2017-05-23,6.802586
2017-05-24,6.862033
2017-05-25,6.828061999999999
2017-05-26,6.828061999999999
2017-05-29,6.828061999999999
2017-05-31,6.828061999999999
2017-06-01,6.794092999999999
2017-06-02,6.709166000000001
2017-06-05,6.709166000000001
2017-06-06,6.836555000000001
2017-06-07,6.85354
2017-06-08,6.904497
2017-06-09,6.862033
2017-06-12,6.963944000000001
2017-06-13,7.031885000000001
2017-06-14,7.176261
2017-06-15,7.082841
2017-06-16,7.048871000000001
2017-06-19,7.048871000000001
2017-06-20,7.091334
2017-06-21,7.082841
2017-06-22,7.065856
2017-06-23,7.065856
2017-06-26,7.074348
2017-06-27,7.099825999999999
2017-06-28,7.091334
2017-06-29,7.082841
2017-06-30,7.048871000000001
2017-07-03,7.091334
2017-07-04,7.065856
2017-07-05,7.082841
2017-07-06,7.057364
2017-07-07,7.048871000000001
2017-07-10,7.048871000000001
2017-07-11,7.065856
2017-07-12,7.074348
2017-07-13,7.099825999999999
2017-07-14,7.091334
2017-07-17,7.10832
2017-07-18,7.167766
2017-07-19,7.218724000000001
2017-07-20,7.269678999999999
2017-07-21,7.218724000000001
2017-07-24,7.235709
2017-07-25,7.218724000000001
2017-07-26,7.159275
2017-07-27,7.176261
2017-07-28,7.159275
2017-07-31,7.227217
2017-08-01,7.218724000000001
2017-08-02,7.21023
2017-08-03,7.074348
2017-08-04,7.091334
2017-08-07,7.040379
2017-08-08,7.048871000000001
2017-08-09,7.006407
2017-08-10,6.9299740000000005
2017-08-11,6.81957
2017-08-14,6.794092999999999
2017-08-15,6.836555000000001
2017-08-16,6.879019
2017-08-17,6.887510000000001
2017-08-18,6.921481
2017-08-21,6.879019
2017-08-22,6.946960000000001
2017-08-23,6.946960000000001
2017-08-24,6.912989
2017-08-25,6.946960000000001
2017-08-28,6.904497
2017-08-29,6.879019
2017-08-30,6.879019
2017-08-31,6.912989
2017-09-01,6.930424
2017-09-04,6.886836
2017-09-05,6.869402
2017-09-06,6.878119
2017-09-07,6.930424
2017-09-08,7.035033
2017-09-11,7.017599000000001
2017-09-12,7.061186999999999
2017-09-13,7.061186999999999
2017-09-14,7.087339
2017-09-15,7.078621000000001
2017-09-18,7.087339
2017-09-19,7.122209
2017-09-20,7.113492
2017-09-21,7.035033
2017-09-22,7.0437520000000005
2017-09-25,7.017599000000001
2017-09-26,7.017599000000001
2017-09-27,7.008881
2017-09-28,7.008881
2017-09-29,7.0437520000000005
2017-10-03,7.165797
2017-10-04,7.165797
2017-10-06,7.209384
2017-10-09,7.235537
2017-10-10,7.331428999999999
2017-10-11,7.340147
2017-10-12,7.444757000000001
2017-10-13,7.470910000000001
2017-10-16,7.5232149999999995
2017-10-17,7.610389
2017-10-18,7.653977
2017-10-19,7.645261
2017-10-20,7.715
2017-10-23,7.732435000000001
2017-10-24,7.7585869999999995
2017-10-25,7.776022
2017-10-26,7.802175
2017-10-27,7.810894
2017-10-30,7.819611999999999
2017-10-31,7.845762
2017-11-01,7.810894
2017-11-02,7.845762
2017-11-03,8.046265
2017-11-06,8.159592
2017-11-07,8.220616999999999
2017-11-08,8.307789999999999
2017-11-09,8.211899
2017-11-10,8.098571000000002
2017-11-13,8.020112
2017-11-14,7.976526
2017-11-15,7.8719149999999996
2017-11-16,7.88935
2017-11-17,7.863198
2017-11-20,7.793457000000001
2017-11-21,7.732435000000001
2017-11-22,7.810894
2017-11-23,7.802175
2017-11-24,7.819611999999999
2017-11-27,7.837046000000001
2017-11-28,7.810894
2017-11-29,7.776022
2017-11-30,7.802175
2017-12-01,7.715
2017-12-04,7.7585869999999995
2017-12-05,7.7585869999999995
2017-12-06,7.636543
2017-12-07,7.627825
2017-12-08,7.645261
2017-12-11,7.715
2017-12-12,7.715
2017-12-13,7.776022
2017-12-14,7.829039999999999
2017-12-15,7.837875
2017-12-18,7.802533
2017-12-19,7.784860000000001
2017-12-20,7.8467139999999995
2017-12-21,7.882060000000001
2017-12-22,7.873222
2017-12-27,7.952750999999999
2017-12-28,7.952750999999999
2017-12-29,7.979258
2018-01-02,8.023441
2018-01-03,8.155987
2018-01-04,8.253186999999999
2018-01-05,8.279696000000001
2018-01-08,8.306206
2018-01-09,8.42108
2018-01-10,8.650826
2018-01-11,8.633152
2018-01-12,8.597806
2018-01-15,8.518281
2018-01-16,8.518281
2018-01-17,8.491769999999999
2018-01-18,8.482934
2018-01-19,8.518281
2018-01-22,8.597806
2018-01-23,8.686169999999999
2018-01-24,8.792208
2018-01-25,8.80988
2018-01-26,8.818716
2018-01-29,8.748025
2018-01-30,8.703842999999999
2018-01-31,8.597806
2018-02-01,8.659661
2018-02-02,8.650826
2018-02-05,8.580133
2018-02-06,8.412243
2018-02-07,8.412243
2018-02-08,8.412243
2018-02-09,8.094130999999999
2018-02-12,8.147152
2018-02-13,8.120641
2018-02-14,8.209005
2018-02-15,8.182496
2018-02-20,8.191333
2018-02-21,8.191333
2018-02-22,8.191333
2018-02-23,8.209005
2018-02-26,8.200169
2018-02-27,8.120641
2018-02-28,8.014605
2018-03-01,8.094130999999999
2018-03-02,8.094130999999999
2018-03-05,8.067623
2018-03-06,8.041115
2018-03-07,7.943913
2018-03-08,7.943913
2018-03-09,7.952750999999999
2018-03-12,7.979258
2018-03-13,7.952750999999999
2018-03-14,7.9880960000000005
2018-03-15,7.935077000000001
2018-03-16,7.882060000000001
2018-03-19,7.776022
2018-03-20,7.776022
2018-03-21,7.802533
2018-03-22,7.705332
2018-03-23,7.616967999999999
2018-03-26,7.599295
2018-03-27,7.616967999999999
2018-03-28,7.687658
2018-03-29,7.731841
2018-04-03,7.696496000000001
2018-04-04,7.864387
2018-04-06,7.935077000000001
2018-04-09,7.935077000000001
2018-04-10,7.935077000000001
2018-04-11,7.935077000000001
2018-04-12,7.943913
2018-04-13,7.899732000000001
2018-04-16,7.890896000000001
2018-04-17,7.85555
2018-04-18,7.882060000000001
2018-04-19,7.926241
2018-04-20,7.8467139999999995
2018-04-23,7.776022
2018-04-24,7.85555
2018-04-25,7.776022
2018-04-26,7.696496000000001
2018-04-27,7.678822
2018-04-30,7.652313
2018-05-02,7.731841
2018-05-03,7.652313
2018-05-04,7.643476
2018-05-07,7.616967999999999
2018-05-08,7.599295
2018-05-09,7.599295
2018-05-10,8.253186999999999
2018-05-11,8.235514
2018-05-14,8.535952
2018-05-15,8.482934
2018-05-16,8.500606
2018-05-17,8.482934
2018-05-18,8.368062
2018-05-21,8.359223
2018-05-23,8.39457
2018-05-24,8.39457
2018-05-25,8.323878
2018-05-28,8.306206
2018-05-29,8.315042
2018-05-30,8.262025
2018-05-31,8.262025
2018-06-01,8.262025
2018-06-04,8.359223
2018-06-05,8.288532
2018-06-06,8.191333
2018-06-07,8.164823
2018-06-08,8.155987
2018-06-11,8.235514
2018-06-12,8.17366
2018-06-13,8.129478
2018-06-14,8.076461
2018-06-15,8.138314
2018-06-19,8.058786
2018-06-20,8.120641
2018-06-21,8.067623
2018-06-22,7.961587
2018-06-25,7.952750999999999
2018-06-26,7.952750999999999
2018-06-27,7.85555
2018-06-28,7.882060000000001
2018-06-29,7.85555
2018-07-03,7.8202039999999995
2018-07-04,7.829039999999999
2018-07-05,7.758349000000001
2018-07-06,7.8202039999999995
2018-07-09,7.758349000000001
2018-07-10,7.784860000000001
2018-07-11,7.731841
2018-07-12,7.687658
2018-07-13,7.731841
2018-07-16,7.66115
2018-07-17,7.66115
2018-07-18,7.793694
2018-07-19,7.784860000000001
2018-07-20,7.696496000000001
2018-07-23,7.546277000000001
2018-07-24,7.616967999999999
2018-07-25,7.687658
2018-07-26,7.616967999999999
2018-07-27,7.519767999999999
2018-07-30,7.528604
2018-07-31,7.475585000000001
2018-08-01,7.466749
2018-08-02,7.422566000000001
2018-08-03,7.378385000000001
2018-08-06,7.31653
2018-08-07,7.2635119999999995
2018-08-08,7.599295
2018-08-09,7.5727850000000005
2018-08-10,7.555113
2018-08-13,7.510930999999999
2018-08-14,7.484422
2018-08-15,7.440239999999999
2018-08-16,7.378385000000001
